HORIZONTAL;;;;;;;;VERTICAL;;;;;;
Start Chainage;Finish Chainage;Station Centre Line;Station  number;Length of element (m);Radius (m);Speed (Km/h);;Start Chainage;Finish Chaiange;Length of element (m);Radius (m);Gradient    (%);;
30390;30428;;;38;TRANS;;;;;;;;;
30428;30473;;;44;-205;50;;;;;;;;
30473;30511;;;38;TRANS;;;;;;;;;
30511;30577;;;66;INFINITY;80;;;;;;;;
30577;30629;;;52;TRANS;;;;;;;;;
30629;30698;;;69;-100;40;;;;;;;;
30698;30750;;;52;TRANS;;;;;;;;;
30750;30864;;;114;INFINITY;80;;;;;;;;
30864;30904;;;40;TRANS;;;;;;;;;
30904;30982;;;78;70.12;30;;;;;;;;
30982;31022;;;40;TRANS;;;;;;;;;
31022;;;;500;INFINITY;80;;;;;;;;
31072.0;31147.0;30961;IC6;;;;;;;;;;;
;31297;;T1.2;;;80;;;;;;;;
;;;;;;;;;;;;;;
